,index,Rk,Player,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,0,1,Brenden Aaronson,Leeds United,26.4,45,18,16,22,7,15,46,32.6,31,43,3,40,5,50,6,1
1,1,2,George Abbott,Tottenham,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
2,2,3,Che Adams,Southampton,22.1,17,13,7,8,2,7,12,58.3,5,13,4,9,4,21,22,0
3,3,4,Tyler Adams,Leeds United,24.0,89,46,44,35,10,50,77,64.9,27,48,8,40,35,124,29,0
4,4,5,Tosin Adarabioyo,Fulham,23.2,30,13,22,6,2,16,23,69.6,7,20,15,5,26,56,140,1
5,5,6,Nayef Aguerd,West Ham,17.7,27,18,18,8,1,13,20,65.0,7,26,24,2,18,45,79,2
6,6,7,Naouirou Ahamada,Crystal Palace,1.0,3,2,3,0,0,1,3,33.3,2,2,0,2,0,3,0,0
7,7,8,Rayan Aït Nouri,Wolves,12.0,33,20,25,7,1,9,15,60.0,6,3,0,3,9,42,28,0
8,8,9,Kristoffer Ajer,Brentford,8.5,11,8,5,4,2,9,16,56.3,7,6,5,1,7,18,22,0
9,9,10,Manuel Akanji,Manchester City,25.4,36,25,15,18,3,23,36,63.9,13,27,9,18,16,52,33,0
10,10,11,Nathan Aké,Manchester City,20.8,26,12,15,9,2,11,15,73.3,4,20,10,10,20,46,48,0
11,11,12,Marc Albrighton,Leicester City,2.6,4,1,0,2,2,1,8,12.5,7,6,2,4,1,5,5,0
12,12,13,Thiago Alcántara,Liverpool,13.9,43,24,20,21,2,14,23,60.9,9,15,3,12,21,64,13,2
13,13,14,Carlos Alcaraz,Southampton,11.4,10,5,2,7,1,6,22,27.3,16,14,5,9,1,11,11,0
14,14,15,Trent Alexander-Arnold,Liverpool,32.5,57,40,32,16,9,42,79,53.2,37,25,7,18,43,100,41,2
15,15,16,Alisson,Liverpool,37.0,0,0,0,0,0,0,3,0.0,3,3,0,3,0,0,20,0
16,16,17,Dele Alli,Everton,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
17,17,18,Miguel Almirón,Newcastle Utd,27.7,46,30,16,19,11,18,42,42.9,24,25,2,23,10,56,17,0
18,18,19,Julián Álvarez,Manchester City,16.3,26,16,3,13,10,9,29,31.0,20,13,0,13,2,28,6,0
19,19,20,Daniel Amartey,Leicester City,17.9,19,8,13,5,1,12,14,85.7,2,24,17,7,8,27,71,0
20,20,21,Samuel Amo-Ameyaw,Southampton,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
21,21,22,Joachim Andersen,Crystal Palace,30.9,42,22,30,12,0,16,32,50.0,16,28,13,15,24,66,188,0
22,22,23,Elliot Anderson,Newcastle Utd,4.6,11,5,5,3,3,6,12,50.0,6,11,2,9,6,17,2,0
23,23,24,Jaidon Anthony,Bournemouth,14.0,30,17,15,9,6,8,24,33.3,16,30,3,27,10,40,19,0
24,24,25,Michail Antonio,West Ham,20.3,14,7,1,8,5,3,12,25.0,9,13,5,8,5,19,9,0
25,26,26,Antony,Manchester Utd,20.0,22,9,9,9,4,8,28,28.6,20,18,0,18,11,33,6,0
26,27,27,Cameron Archer,Aston Villa,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
27,28,28,Alphonse Areola,West Ham,3.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
28,29,29,Joe Aribo,Southampton,13.6,31,20,15,12,4,11,20,55.0,9,14,1,13,10,41,11,0
29,30,30,Adam Armstrong,Southampton,14.8,14,9,6,5,3,3,10,30.0,7,15,3,12,5,19,6,0
30,31,31,Stuart Armstrong,Southampton,15.6,32,21,15,13,4,14,39,35.9,25,18,0,18,10,42,9,1
31,32,32,Kepa Arrizabalaga,Chelsea,28.5,2,2,2,0,0,2,3,66.7,1,0,0,0,1,3,16,2
32,33,33,Pierre-Emerick Aubameyang,Chelsea,6.2,1,0,1,0,0,0,1,0.0,1,2,0,2,2,3,4,2
33,34,34,Ludwig Augustinsson,Aston Villa,0.9,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0
34,35,35,Serge Aurier,Nott'ham Forest,21.6,64,41,41,18,5,23,33,69.7,10,34,11,23,29,93,75,0
