,index,Rk,Player,Squad,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,0,1,Brenden Aaronson,Leeds United,26.4,797,711,85,26,8,2,72,5,38,17,14,1,592,1,27
1,1,2,George Abbott,Tottenham,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,3,Che Adams,Southampton,22.1,498,490,7,0,6,7,12,4,0,0,0,0,330,1,17
3,3,4,Tyler Adams,Leeds United,24.0,1343,1271,72,58,1,2,2,14,0,0,0,0,1108,0,24
4,4,5,Tosin Adarabioyo,Fulham,23.2,1300,1235,58,47,2,12,2,7,0,0,0,0,1066,7,10
5,5,6,Nayef Aguerd,West Ham,17.7,763,723,36,29,0,21,0,0,0,0,0,0,599,4,5
6,6,7,Naouirou Ahamada,Crystal Palace,1.0,46,45,1,0,0,0,2,0,0,0,0,0,37,0,0
7,7,8,Rayan Aït Nouri,Wolves,12.0,578,487,89,5,0,2,21,81,3,1,2,0,470,2,18
8,8,9,Kristoffer Ajer,Brentford,8.5,345,293,51,7,0,4,6,44,0,0,0,0,259,1,8
9,9,10,Manuel Akanji,Manchester City,25.4,2056,1999,55,28,0,8,6,27,0,0,0,0,1912,2,8
10,10,11,Nathan Aké,Manchester City,20.8,1813,1685,126,35,1,6,15,91,0,0,0,0,1639,2,26
11,11,12,Marc Albrighton,Leicester City,2.6,148,130,17,1,1,0,28,7,7,1,3,2,89,1,10
12,12,13,Thiago Alcántara,Liverpool,13.9,1097,1063,31,23,8,15,3,6,0,0,0,0,946,3,22
13,13,14,Carlos Alcaraz,Southampton,11.4,290,279,9,1,2,4,4,1,0,0,0,0,222,2,10
14,14,15,Trent Alexander-Arnold,Liverpool,32.5,2912,2393,509,70,26,59,252,341,98,16,74,1,2188,10,37
15,15,16,Alisson,Liverpool,37.0,1453,1199,250,57,0,2,0,0,0,0,0,0,1241,4,1
16,16,17,Dele Alli,Everton,0.4,15,13,2,1,0,0,0,0,0,0,0,0,12,0,0
17,17,18,Miguel Almirón,Newcastle Utd,27.7,982,946,30,0,3,4,26,18,11,0,0,0,811,6,29
18,18,19,Julián Álvarez,Manchester City,16.3,503,478,21,2,7,3,26,4,4,3,0,0,395,4,17
19,19,20,Daniel Amartey,Leicester City,17.9,1114,1092,20,15,2,2,0,5,0,0,0,0,1015,2,2
20,20,21,Samuel Amo-Ameyaw,Southampton,0.0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
21,21,22,Joachim Andersen,Crystal Palace,30.9,1972,1840,123,107,4,44,10,13,1,0,0,0,1561,9,13
22,22,23,Elliot Anderson,Newcastle Utd,4.6,198,193,3,0,1,0,9,2,1,0,0,0,150,2,10
23,23,24,Jaidon Anthony,Bournemouth,14.0,526,480,45,9,2,5,43,21,14,9,1,1,387,1,18
